Squad,Matches,Goals,Conceded,xG,Possession %,Shots,Shots Against,PPDA,Match Tempo,Passes,Pass Acc %,Long Pass %,Avg Pass Length,Passes/Possession,Fwd Pass %,Progressive Passes,Crosses,Cross Acc %,Pos. Attacks,Counterattacks,Counter Share %,Pos.Atk Shot %,Duels Won %,Aerial Won %,Def Duels Won %,Interceptions,Recoveries,Rec. High %,Rec. Low %,Losses,Loss Low %,Fouls,Corners,Avg Shot Dist
Arsenal,38,1.87,0.71,1.9,55.8,13.6,7.6,9.92,16.16,467.0,86.1,8.4,18.6,5.1,31.7,65.6,14.7,32.0,30.4,1.08,3.4,28.2,48.3,47.7,62.5,31.6,80.2,19.0,39.1,101.3,16.2,10.2,5.7,16.36
Aston Villa,38,1.47,1.29,1.49,54.1,11.8,11.4,12.27,15.71,433.0,85.7,8.5,18.37,4.64,32.4,61.7,13.8,27.9,24.3,0.95,3.8,26.9,46.4,44.9,59.7,34.5,69.9,17.3,45.8,97.9,21.8,10.0,5.2,17.76
Bournemouth,38,1.53,1.42,1.72,49.7,13.2,11.9,10.38,16.62,407.0,81.3,11.9,19.63,3.99,35.2,71.2,16.4,32.5,30.5,1.13,3.6,28.2,48.2,43.5,61.1,41.9,86.7,16.7,44.9,118.0,19.6,12.1,5.6,18.34
Brentford,38,1.45,1.37,1.59,48.2,9.8,12.5,11.11,16.02,387.0,82.3,12.9,19.44,3.95,35.2,66.1,13.7,33.0,25.7,1.08,4.0,23.3,46.9,43.8,62.8,41.7,85.0,15.9,43.8,114.2,20.7,10.2,4.8,15.32
Brighton,38,1.37,1.21,1.46,54.0,11.9,11.1,9.3,16.64,461.0,84.5,9.2,18.97,4.9,32.4,69.0,16.7,37.7,27.5,0.84,3.0,25.5,47.7,46.0,61.8,36.7,82.7,18.1,38.8,108.3,17.4,11.8,4.9,17.35
Burnley,38,1.0,1.97,0.88,41.9,8.7,15.6,14.39,17.19,376.0,81.5,11.4,18.88,4.0,33.6,60.5,11.6,31.1,23.1,0.71,3.0,23.9,45.6,41.4,61.3,40.9,77.7,14.7,46.7,114.2,23.5,10.2,3.6,18.84
Chelsea,38,1.53,1.37,1.71,56.1,12.5,10.2,11.48,17.84,527.0,87.7,7.6,18.36,5.65,30.0,68.4,15.3,31.0,27.5,1.32,4.6,28.9,48.0,42.6,63.4,34.4,75.4,16.6,43.0,98.8,19.4,11.0,5.9,17.3
Crystal Palace,38,1.08,1.34,1.54,45.6,10.6,10.8,14.05,16.75,383.0,81.1,11.9,19.85,4.06,35.3,69.3,13.1,34.1,24.4,0.92,3.6,28.0,48.2,45.1,63.0,42.7,87.2,15.4,46.5,117.1,20.3,10.3,4.2,15.88
Everton,38,1.24,1.32,1.31,45.0,10.2,12.9,12.6,15.76,369.0,82.5,11.4,19.49,3.84,35.5,63.8,13.6,36.6,26.5,1.05,3.8,24.0,48.3,48.4,63.9,39.6,83.2,17.2,43.5,113.5,20.4,10.7,4.4,17.01
Fulham,38,1.24,1.34,1.42,50.9,11.6,10.8,12.59,17.36,462.0,84.6,9.2,18.72,4.8,32.1,71.3,15.0,38.1,25.5,0.71,2.7,27.9,48.8,44.0,62.9,37.4,75.8,13.7,45.5,107.7,21.1,10.8,4.9,17.51
